USerID,TripID,Start Date Time,End Date Time,Trip Duration,Trip Run Time,"Average 
Speed
(Km/h)","Distance Covered
(Km)","Traffic Signal Violations
","Speed Violations
(in hours)","Keep Safe distance violations
(in hours)","Frequent lane change events
(count)"
UA000010,UA0000101515944903637,01/14/2018 15:48,01/14/2018 18:18,2.5,1.9,87.6,166.5,0,0.1,0.4,0
UA000020,UA0000201526044733754,05/11/2018 13:18,05/11/2018 14:30,1.2,0.9,98.4,88.6,3,0.2,0,9
UA000011,UA0000111543753379105,12/02/2018 12:22,12/02/2018 15:10,2.8,1.9,106.8,203,3,0.6,0.4,17
UA000020,UA0000201548952959262,01/31/2019 16:42,01/31/2019 20:12,3.5,2.5,80.4,201,3,0.7,0.7,19
UA000016,UA0000161534985084258,08/23/2018 00:44,08/23/2018 03:14,2.5,1.9,94.8,180.2,1,0.9,0.4,3
UA000010,UA0000101542245806886,11/15/2018 01:36,11/15/2018 02:36,1,0.9,98.4,88.6,4,0.3,0.1,18
UA000020,UA0000201536127138042,09/05/2018 05:58,09/05/2018 09:52,3.9,2.5,86.4,216,1,1,0.8,4
UA000012,UA0000121539742485463,10/17/2018 02:14,10/17/2018 04:38,2.4,1.7,76.8,130.6,2,0.2,0.4,4
UA000014,UA0000141527250632469,05/25/2018 12:17,05/25/2018 13:47,1.5,1.2,96,115.2,2,0.6,0.1,8
UA000013,UA0000131529015513368,06/14/2018 22:31,06/15/2018 01:13,2.7,1.8,72,129.6,0,0.3,0.6,20
UA000016,UA0000161532647418812,07/26/2018 23:23,07/27/2018 00:53,1.5,1.2,93.6,112.4,2,0,0.3,2
UA000010,UA0000101538106112385,09/28/2018 03:41,09/28/2018 04:47,1.1,0.9,87.6,78.9,0,0.4,0.3,12
UA000011,UA0000111536036194000,09/04/2018 04:43,09/04/2018 05:37,0.9,0.7,90,63,2,0.1,0.2,4
UA000015,UA0000151551272198150,02/27/2019 12:56,02/27/2019 15:44,2.8,1.9,86.4,164.2,1,0.6,0.5,6
UA000014,UA0000141536762807556,09/12/2018 14:33,09/12/2018 18:21,3.8,2.7,106.8,288.4,2,0.8,0.3,15
UA000017,UA0000171521155608919,03/15/2018 23:13,03/16/2018 02:01,2.8,2.4,79.2,190.1,4,0.4,0.2,2
UA000016,UA0000161536580572317,09/10/2018 11:56,09/10/2018 13:38,1.7,1.1,79.2,87.2,2,0.4,0.3,2
UA000010,UA0000101521361383461,03/18/2018 08:23,03/18/2018 10:53,2.5,2.1,75.6,158.8,2,0.9,0.6,4
UA000013,UA0000131531723830188,07/16/2018 06:50,07/16/2018 09:38,2.8,1.7,73.2,124.5,1,0.6,0.3,15
UA000013,UA0000131545069950141,12/17/2018 18:05,12/17/2018 21:41,3.6,2.6,75.6,196.6,1,0.7,0.2,12
UA000019,UA0000191519749495291,02/27/2018 16:38,02/27/2018 20:02,3.4,2.6,97.2,252.8,0,1.2,0.1,15
UA000017,UA0000171516825430008,01/24/2018 20:23,01/24/2018 22:29,2.1,1.8,87.6,157.7,2,0.1,0.2,14
UA000020,UA0000201546795563268,01/06/2019 17:26,01/06/2019 21:02,3.6,2.9,92.4,268,2,0.1,0.9,17
UA000020,UA0000201524799691528,04/27/2018 03:28,04/27/2018 07:04,3.6,2.6,100.8,262.1,3,0.2,0.3,18
UA000013,UA0000131517318865056,01/30/2018 13:27,01/30/2018 16:15,2.8,1.9,72,136.8,2,0.6,0.4,15
UA000011,UA0000111535308591798,08/26/2018 18:36,08/26/2018 22:06,3.5,2.1,73.2,153.8,1,0.4,0.2,0
UA000019,UA0000191517066030171,01/27/2018 15:13,01/27/2018 15:31,0.3,0.3,79.2,23.8,3,0.1,0,17
UA000010,UA0000101520652641253,03/10/2018 03:30,03/10/2018 03:54,0.4,0.4,87.6,35.1,0,0.2,0.1,6
UA000016,UA0000161522723503555,04/03/2018 02:45,04/03/2018 05:21,2.6,1.8,92.4,166.4,2,0.2,0.6,8
UA000017,UA0000171536615781514,09/10/2018 21:43,09/10/2018 22:37,0.9,0.8,104.4,83.6,1,0.3,0.1,14
UA000013,UA0000131527908517155,06/02/2018 03:01,06/02/2018 06:13,3.2,2.3,87.6,201.5,1,0.2,0.6,1
UA000016,UA0000161526660759330,05/18/2018 16:25,05/18/2018 19:07,2.7,2.4,88.8,213.2,2,0.4,0.7,12
UA000016,UA0000161520775780780,03/11/2018 13:43,03/11/2018 16:55,3.2,2.1,74.4,156.3,2,0.2,0.6,11
UA000013,UA0000131543901257966,12/04/2018 05:27,12/04/2018 05:57,0.5,0.4,79.2,31.7,4,0.2,0.1,15
UA000014,UA0000141544646331415,12/12/2018 20:25,12/12/2018 23:37,3.2,2.1,73.2,153.8,2,0.9,0.1,9
UA000014,UA0000141524866223229,04/27/2018 21:57,04/27/2018 22:33,0.6,0.4,72,28.8,3,0,0,1
UA000010,UA0000101533292177898,08/03/2018 10:29,08/03/2018 10:47,0.3,0.2,90,18,1,0.1,0,9
UA000016,UA0000161538409248428,10/01/2018 15:54,10/01/2018 16:54,1,0.9,106.8,96.2,3,0.1,0.2,5
UA000010,UA0000101514750776494,12/31/2017 20:06,12/31/2017 21:12,1.1,0.8,97.2,77.8,4,0,0,17
UA000013,UA0000131521785408605,03/23/2018 06:10,03/23/2018 08:40,2.5,1.6,87.6,140.2,1,0.5,0.3,13
UA000011,UA0000111521611378400,03/21/2018 05:49,03/21/2018 08:19,2.5,1.6,72,115.2,4,0.4,0.1,9
UA000011,UA0000111538678657027,10/04/2018 18:44,10/04/2018 20:56,2.2,1.8,103.2,185.8,4,0.7,0.1,7
UA000013,UA0000131536700498424,09/11/2018 21:14,09/12/2018 00:44,3.5,2.6,85.2,221.6,3,0,0.9,4
UA000018,UA0000181540460521918,10/25/2018 09:42,10/25/2018 13:36,3.9,2.4,99.6,239.1,4,1,0.1,12
UA000015,UA0000151517401159822,01/31/2018 12:19,01/31/2018 13:19,1,0.7,72,50.4,1,0.2,0.1,19
UA000013,UA0000131545534173051,12/23/2018 03:02,12/23/2018 03:20,0.3,0.2,72,14.4,2,0.1,0,11
UA000016,UA0000161527193615117,05/24/2018 20:26,05/24/2018 23:56,3.5,2.4,72,172.8,2,0.7,0.1,4
UA000010,UA0000101537990256686,09/26/2018 19:30,09/26/2018 19:48,0.3,0.3,84,25.2,2,0.1,0,1
UA000020,UA0000201528887534129,06/13/2018 10:58,06/13/2018 13:10,2.2,1.9,81.6,155.1,1,0.3,0,10
UA000017,UA0000171550979159755,02/24/2019 03:32,02/24/2019 04:26,0.9,0.9,75.6,68.1,3,0.4,0.1,7
UA000013,UA0000131546778121273,01/06/2019 12:35,01/06/2019 15:35,3,2.3,80.4,185,2,0.8,0.7,5
UA000014,UA0000141519388596448,02/23/2018 12:23,02/23/2018 14:17,1.9,1.3,88.8,115.5,4,0.5,0.1,7
UA000018,UA0000181515203901589,01/06/2018 01:58,01/06/2018 05:46,3.8,3.3,97.2,320.8,0,0.5,1,8
UA000012,UA0000121524156325603,04/19/2018 16:45,04/19/2018 17:27,0.7,0.5,81.6,40.8,2,0.2,0.1,3
UA000011,UA0000111535632695174,08/30/2018 12:38,08/30/2018 12:50,0.2,0.2,104.4,20.9,1,0,0.1,20
UA000019,UA0000191531673365736,07/15/2018 16:49,07/15/2018 18:55,2.1,1.5,74.4,111.6,4,0.3,0,18
UA000010,UA0000101518804109462,02/16/2018 18:01,02/16/2018 21:31,3.5,3,87.6,262.8,2,0.9,0.1,9
UA000011,UA0000111544838451784,12/15/2018 01:47,12/15/2018 04:23,2.6,1.7,92.4,157.1,3,0.6,0.2,18
UA000016,UA0000161519226617737,02/21/2018 15:23,02/21/2018 18:53,3.5,2.7,86.4,233.3,2,1.2,0.4,11
UA000013,UA0000131550575736466,02/19/2019 11:28,02/19/2019 11:58,0.5,0.5,104.4,52.2,3,0,0.1,13
UA000013,UA0000131535692259093,08/31/2018 05:10,08/31/2018 07:52,2.7,1.9,93.6,177.9,3,0.2,0.2,12
UA000018,UA0000181545475701963,12/22/2018 10:48,12/22/2018 13:24,2.6,1.9,84,159.6,3,0.1,0.3,3
UA000012,UA0000121541352957489,11/04/2018 17:35,11/04/2018 20:05,2.5,2.2,108,237.6,2,0.3,0.7,17
UA000015,UA0000151538348671630,09/30/2018 23:04,10/01/2018 00:58,1.9,1.6,94.8,151.7,2,0,0.5,3
UA000013,UA0000131540135324859,10/21/2018 15:22,10/21/2018 16:40,1.3,1,87.6,87.6,1,0.1,0.1,11
UA000014,UA0000141529516079041,06/20/2018 17:34,06/20/2018 19:04,1.5,1.1,91.2,100.4,3,0.2,0.3,19
UA000013,UA0000131527486905183,05/28/2018 05:55,05/28/2018 09:55,4,3.2,93.6,299.6,0,0.9,0.8,15
UA000011,UA0000111515201570525,01/06/2018 01:19,01/06/2018 03:25,2.1,1.4,106.8,149.6,3,0.3,0,9
UA000012,UA0000121518975843253,02/18/2018 17:44,02/18/2018 18:32,0.8,0.8,84,67.2,0,0.2,0.2,2
UA000019,UA0000191524516576807,04/23/2018 20:49,04/23/2018 22:31,1.7,1.3,85.2,110.8,2,0.4,0.1,14
UA000014,UA0000141528660606340,06/10/2018 19:56,06/10/2018 23:02,3.1,2,98.4,196.8,2,0,0.2,0
UA000013,UA0000131515283777130,01/07/2018 00:09,01/07/2018 04:09,4,3,90,270,1,0,0.6,12
UA000014,UA0000141527489442403,05/28/2018 06:37,05/28/2018 07:31,0.9,0.6,86.4,51.9,2,0.2,0.1,11
UA000017,UA0000171520136003885,03/04/2018 04:00,03/04/2018 05:48,1.8,1.3,90,117,1,0.4,0.4,11
UA000010,UA0000101541356556551,11/04/2018 18:35,11/04/2018 22:35,4,3.6,86.4,311.1,3,1.7,1.1,10
UA000018,UA0000181534854816840,08/21/2018 12:33,08/21/2018 14:09,1.6,1.4,85.2,119.3,1,0.7,0.1,11
UA000011,UA0000111523081345513,04/07/2018 06:09,04/07/2018 09:03,2.9,2.5,90,225,0,0.7,0.6,0
UA000014,UA0000141534834837842,08/21/2018 07:00,08/21/2018 10:54,3.9,3.1,82.8,256.7,0,0.9,0,4
UA000013,UA0000131528430599823,06/08/2018 04:03,06/08/2018 06:51,2.8,2.4,92.4,221.8,2,1,0,8
UA000014,UA0000141526991047802,05/22/2018 12:10,05/22/2018 13:10,1,0.7,82.8,58,1,0,0,7
UA000020,UA0000201530583541033,07/03/2018 02:05,07/03/2018 02:17,0.2,0.2,96,19.2,3,0.1,0.1,18
UA000017,UA0000171522904339361,04/05/2018 04:58,04/05/2018 06:58,2,1.5,104.4,156.6,2,0.4,0.3,18
UA000019,UA0000191533433926051,08/05/2018 01:52,08/05/2018 02:52,1,0.9,93.6,84.3,3,0.4,0.1,6
UA000012,UA0000121536377273909,09/08/2018 03:27,09/08/2018 03:33,0.1,0.1,91.2,9.2,3,0,0,5
UA000018,UA0000181527634775478,05/29/2018 22:59,05/29/2018 23:05,0.1,0.1,93.6,9.4,3,0,0,9
UA000014,UA0000141528647585027,06/10/2018 16:19,06/10/2018 17:19,1,0.9,72,64.8,1,0.1,0.2,5
UA000019,UA0000191542118264071,11/13/2018 14:11,11/13/2018 14:35,0.4,0.4,88.8,35.6,2,0.2,0.1,10
UA000019,UA0000191526729250253,05/19/2018 11:27,05/19/2018 14:39,3.2,2.8,74.4,208.4,1,1.4,0.6,18
UA000017,UA0000171527667804895,05/30/2018 08:10,05/30/2018 10:40,2.5,2.2,97.2,213.9,2,0.5,0.4,5
UA000016,UA0000161522787937662,04/03/2018 20:38,04/03/2018 23:56,3.3,2.5,100.8,252,3,0.5,0.7,2
UA000017,UA0000171521175108227,03/16/2018 04:38,03/16/2018 05:02,0.4,0.4,105.6,42.3,4,0.2,0.1,12
